name,epiweek,R(S-),R(S+)
Joined Up Care Derbyshire,Week 45,1.545902832,0.879908887
Joined Up Care Derbyshire,Week 46,1.394813502,0.616644265
Joined Up Care Derbyshire,Week 47,1.738610983,0.655618775
Joined Up Care Derbyshire,Week 48,2.171702165,0.85085455
Joined Up Care Derbyshire,Week 49,2.407281392,1.121187614
Joined Up Care Derbyshire,Week 50,1.857113385,0.960966176
Joined Up Care Derbyshire,Week 51,1.528473339,0.856049773
Joined Up Care Derbyshire,Week 52,2.254614905,1.210337463
Joined Up Care Derbyshire,Week 53,1.14036521,0.754599717
Joined Up Care Derbyshire,Week 54,1.034944022,0.718726162
Joined Up Care Derbyshire,Week 55,0.985096507,0.733217577
Kent and Medway,Week 45,2.085343825,1.23941996
Kent and Medway,Week 46,1.088094252,0.619342007
Kent and Medway,Week 47,1.457404927,0.744064137
Kent and Medway,Week 48,1.210053114,0.750282236
Kent and Medway,Week 49,1.600528557,1.15776737
Kent and Medway,Week 50,1.442953936,1.182739175
Kent and Medway,Week 51,0.674080982,0.615181241
Kent and Medway,Week 52,1.528135948,1.045102815
Kent and Medway,Week 53,0.654246992,0.536555348
Kent and Medway,Week 54,0.734277361,0.628752203
Kent and Medway,Week 55,0.710837062,0.637218467
"Leicester, Leicestershire and Rutland",Week 45,1.6099917,1.083802035
"Leicester, Leicestershire and Rutland",Week 46,1.166453261,0.669145028
"Leicester, Leicestershire and Rutland",Week 47,1.252165854,0.690845737
"Leicester, Leicestershire and Rutland",Week 48,1.502948713,0.839030657
"Leicester, Leicestershire and Rutland",Week 49,1.813805519,1.047678759
"Leicester, Leicestershire and Rutland",Week 50,2.007368522,1.032280998
"Leicester, Leicestershire and Rutland",Week 51,2.252277344,0.892087879
"Leicester, Leicestershire and Rutland",Week 52,2.530577766,1.035084212
"Leicester, Leicestershire and Rutland",Week 53,1.109995373,0.707963166
"Leicester, Leicestershire and Rutland",Week 54,1.042402432,0.678883994
"Leicester, Leicestershire and Rutland",Week 55,1.024339406,0.647182387
Lincolnshire,Week 45,1.581560069,1.13136875
Lincolnshire,Week 46,1.193012524,0.800721918
Lincolnshire,Week 47,1.4261921,0.888778043
Lincolnshire,Week 48,1.688696824,0.984023762
Lincolnshire,Week 49,1.960229412,1.046207035
Lincolnshire,Week 50,1.842396963,0.914376047
Lincolnshire,Week 51,1.841174077,0.885186759
Lincolnshire,Week 52,1.835336441,0.85545472
Lincolnshire,Week 53,1.226803563,0.629596972
Lincolnshire,Week 54,1.058441923,0.564477356
Lincolnshire,Week 55,1.016340809,0.535670266
Mid and South Essex,Week 45,2.780430528,1.287084234
Mid and South Essex,Week 46,1.498497496,0.712003949
Mid and South Essex,Week 47,1.526968191,0.796674596
Mid and South Essex,Week 48,1.554856565,0.90560115
Mid and South Essex,Week 49,2.649442807,1.511360457
Mid and South Essex,Week 50,2.258784437,1.30373504
Mid and South Essex,Week 51,0.736120664,0.489575544
Mid and South Essex,Week 52,1.600647789,1.034014811
Mid and South Essex,Week 53,0.503556824,0.416288782
Mid and South Essex,Week 54,0.708458815,0.56515721
Mid and South Essex,Week 55,0.595063154,0.514933287
Norfolk and Waveney Health and Care Partnership,Week 45,1.929360829,1.086038156
Norfolk and Waveney Health and Care Partnership,Week 46,1.258267704,0.710524265
Norfolk and Waveney Health and Care Partnership,Week 47,1.260328439,0.771937614
Norfolk and Waveney Health and Care Partnership,Week 48,1.324862687,0.952492801
Norfolk and Waveney Health and Care Partnership,Week 49,1.550167613,1.144899082
Norfolk and Waveney Health and Care Partnership,Week 50,2.154357919,1.228395043
Norfolk and Waveney Health and Care Partnership,Week 51,1.736329612,1.019662544
Norfolk and Waveney Health and Care Partnership,Week 52,2.037652152,1.114430299
Norfolk and Waveney Health and Care Partnership,Week 53,0.911940313,0.503485904
Norfolk and Waveney Health and Care Partnership,Week 54,0.988516851,0.461315214
Norfolk and Waveney Health and Care Partnership,Week 55,0.817339504,0.412302154
North London Partners in Health and Care,Week 45,2.21928129,1.164803904
North London Partners in Health and Care,Week 46,1.451034196,0.718189036
North London Partners in Health and Care,Week 47,1.697623121,0.811488338
North London Partners in Health and Care,Week 48,2.066940444,0.970832854
North London Partners in Health and Care,Week 49,2.24417806,1.124135828
North London Partners in Health and Care,Week 50,2.337950121,1.234840657
North London Partners in Health and Care,Week 51,1.084004929,0.642471434
North London Partners in Health and Care,Week 52,1.422547777,0.84416411
North London Partners in Health and Care,Week 53,0.876150501,0.594050783
North London Partners in Health and Care,Week 54,0.612389895,0.478245089
North London Partners in Health and Care,Week 55,0.706837301,0.572077663
North West London Health and Care Partnership,Week 45,2.177333058,1.125214452
North West London Health and Care Partnership,Week 46,1.547882624,0.769809486
North West London Health and Care Partnership,Week 47,1.596847648,0.785194574
North West London Health and Care Partnership,Week 48,1.752384353,0.88307806
North West London Health and Care Partnership,Week 49,2.419369907,1.224305703
North West London Health and Care Partnership,Week 50,2.543356833,1.260454965
North West London Health and Care Partnership,Week 51,1.338233715,0.722093665
North West London Health and Care Partnership,Week 52,1.48515881,0.836195872
North West London Health and Care Partnership,Week 53,1.030386427,0.644020696
North West London Health and Care Partnership,Week 54,0.733370934,0.513126203
North West London Health and Care Partnership,Week 55,0.755208497,0.518745564
Northamptonshire,Week 45,1.597579747,1.044458845
Northamptonshire,Week 46,1.151963464,0.687717876
Northamptonshire,Week 47,1.28085817,0.720792966
Northamptonshire,Week 48,1.751112235,0.941591082
Northamptonshire,Week 49,2.471676983,1.234159329
Northamptonshire,Week 50,2.209290567,1.011907296
Northamptonshire,Week 51,1.929811552,0.913981754
Northamptonshire,Week 52,2.317316516,1.215759137
Northamptonshire,Week 53,0.984140253,0.690932409
Northamptonshire,Week 54,0.77127625,0.608872253
Northamptonshire,Week 55,0.940507561,0.720440524
Nottingham and Nottinghamshire Health and Care,Week 45,1.20965842,0.808769848
Nottingham and Nottinghamshire Health and Care,Week 46,1.283496603,0.752269352
Nottingham and Nottinghamshire Health and Care,Week 47,1.364810849,0.741541653
Nottingham and Nottinghamshire Health and Care,Week 48,1.813621029,0.897393679
Nottingham and Nottinghamshire Health and Care,Week 49,2.741377324,1.197924838
Nottingham and Nottinghamshire Health and Care,Week 50,2.334212638,0.998087823
Nottingham and Nottinghamshire Health and Care,Week 51,1.830055845,0.822492281
Nottingham and Nottinghamshire Health and Care,Week 52,2.245159885,1.172918806
Nottingham and Nottinghamshire Health and Care,Week 53,1.208892426,0.79483533
Nottingham and Nottinghamshire Health and Care,Week 54,0.863537112,0.582746122
Nottingham and Nottinghamshire Health and Care,Week 55,1.028877532,0.597598061
Our Healthier South East London,Week 45,2.48973357,1.192018522
Our Healthier South East London,Week 46,1.324996243,0.656670615
Our Healthier South East London,Week 47,1.551314604,0.783394468
Our Healthier South East London,Week 48,1.617457606,0.89796618
Our Healthier South East London,Week 49,2.213397162,1.257058858
Our Healthier South East London,Week 50,2.320464477,1.288394313
Our Healthier South East London,Week 51,0.920863617,0.583114535
Our Healthier South East London,Week 52,1.549301598,0.999822311
Our Healthier South East London,Week 53,0.822017862,0.603426922
Our Healthier South East London,Week 54,0.593172485,0.46488018
Our Healthier South East London,Week 55,0.709844348,0.541470199
Shropshire and Telford and Wrekin,Week 45,1.27522044,0.941612016
Shropshire and Telford and Wrekin,Week 46,0.986742256,0.700357449
Shropshire and Telford and Wrekin,Week 47,0.985365054,0.662507916
Shropshire and Telford and Wrekin,Week 48,1.197476464,0.723425776
Shropshire and Telford and Wrekin,Week 49,1.927911857,0.98649742
Shropshire and Telford and Wrekin,Week 50,2.133360115,0.930854108
Shropshire and Telford and Wrekin,Week 51,2.576682132,0.99217955
Shropshire and Telford and Wrekin,Week 52,3.489467816,1.386482536
Shropshire and Telford and Wrekin,Week 53,1.398911329,0.878206857
Shropshire and Telford and Wrekin,Week 54,0.900762396,0.674270657
Shropshire and Telford and Wrekin,Week 55,0.751819582,0.575935529
Somerset,Week 45,1.658402485,1.12280001
Somerset,Week 46,1.480358477,0.845556867
Somerset,Week 47,1.456940292,0.778286666
Somerset,Week 48,1.646451611,0.830911635
Somerset,Week 49,1.996696322,0.974987495
Somerset,Week 50,1.832227372,1.034600372
Somerset,Week 51,1.755426965,1.108232854
Somerset,Week 52,1.621263671,1.047373067
Somerset,Week 53,0.955921101,0.759222386
Somerset,Week 54,0.894668358,0.722052592
Somerset,Week 55,0.815584381,0.718841359
South West London Health and Care Partnership,Week 45,2.347194759,1.115907938
South West London Health and Care Partnership,Week 46,1.540998842,0.700302937
South West London Health and Care Partnership,Week 47,1.755380781,0.789602624
South West London Health and Care Partnership,Week 48,1.818834892,0.938024528
South West London Health and Care Partnership,Week 49,2.192716737,1.234711093
South West London Health and Care Partnership,Week 50,2.31021466,1.278642788
South West London Health and Care Partnership,Week 51,1.100791072,0.749506046
South West London Health and Care Partnership,Week 52,1.391352073,0.886557079
South West London Health and Care Partnership,Week 53,0.800319466,0.562990829
South West London Health and Care Partnership,Week 54,0.711842061,0.526263341
South West London Health and Care Partnership,Week 55,0.683288633,0.517838878
South Yorkshire and Bassetlaw,Week 45,1.229542071,0.777034474
South Yorkshire and Bassetlaw,Week 46,1.156919937,0.686325302
South Yorkshire and Bassetlaw,Week 47,1.285956711,0.751234596
South Yorkshire and Bassetlaw,Week 48,1.528127455,0.875211134
South Yorkshire and Bassetlaw,Week 49,2.033455637,1.075740094
South Yorkshire and Bassetlaw,Week 50,2.104908306,0.980394145
South Yorkshire and Bassetlaw,Week 51,2.27640131,0.97816043
South Yorkshire and Bassetlaw,Week 52,2.724627448,1.171302238
South Yorkshire and Bassetlaw,Week 53,1.334346007,0.668579697
South Yorkshire and Bassetlaw,Week 54,1.011623683,0.578737763
South Yorkshire and Bassetlaw,Week 55,1.129687479,0.705919298
Staffordshire and Stoke on Trent,Week 45,1.560367932,1.063330317
Staffordshire and Stoke on Trent,Week 46,1.133184106,0.70652651
Staffordshire and Stoke on Trent,Week 47,1.263315863,0.735074217
Staffordshire and Stoke on Trent,Week 48,1.620964718,0.839692974
Staffordshire and Stoke on Trent,Week 49,2.440381433,1.074514545
Staffordshire and Stoke on Trent,Week 50,2.125093845,0.902809278
Staffordshire and Stoke on Trent,Week 51,1.897496415,0.822556927
Staffordshire and Stoke on Trent,Week 52,2.222106282,1.117154576
Staffordshire and Stoke on Trent,Week 53,1.140230888,0.767727174
Staffordshire and Stoke on Trent,Week 54,0.945271286,0.641297217
Staffordshire and Stoke on Trent,Week 55,0.906659504,0.581311362
Suffolk and North East Essex,Week 45,1.594690445,0.934777969
Suffolk and North East Essex,Week 46,1.687281039,0.842944774
Suffolk and North East Essex,Week 47,1.572148776,0.836985197
Suffolk and North East Essex,Week 48,1.768874477,0.943171635
Suffolk and North East Essex,Week 49,2.578536954,1.204263035
Suffolk and North East Essex,Week 50,2.103122801,1.247107044
Suffolk and North East Essex,Week 51,1.372533086,0.937963566
Suffolk and North East Essex,Week 52,2.402698941,0.937205319
Suffolk and North East Essex,Week 53,0.86181039,0.443631094
Suffolk and North East Essex,Week 54,0.717166114,0.399637407
Suffolk and North East Essex,Week 55,0.717921374,0.448484657
Surrey Heartlands,Week 45,1.890046223,0.938457609
Surrey Heartlands,Week 46,1.477668372,0.702178557
Surrey Heartlands,Week 47,1.497080503,0.732592534
Surrey Heartlands,Week 48,1.641515716,0.905046412
Surrey Heartlands,Week 49,1.83264054,1.131761845
Surrey Heartlands,Week 50,1.879877741,1.197032115
Surrey Heartlands,Week 51,1.471394618,0.98754214
Surrey Heartlands,Week 52,1.337289314,0.896182541
Surrey Heartlands,Week 53,0.832216676,0.620633924
Surrey Heartlands,Week 54,0.704815035,0.526673117
Surrey Heartlands,Week 55,0.66344682,0.483856104
Sussex and East Surrey,Week 45,2.623666101,1.18533776
Sussex and East Surrey,Week 46,1.214624785,0.579115713
Sussex and East Surrey,Week 47,1.178882002,0.571722086
Sussex and East Surrey,Week 48,1.650269545,0.807391782
Sussex and East Surrey,Week 49,2.171237633,1.200588181
Sussex and East Surrey,Week 50,2.115188997,1.343307692
Sussex and East Surrey,Week 51,1.243005112,0.863313277
Sussex and East Surrey,Week 52,1.867680679,1.1497226
Sussex and East Surrey,Week 53,0.747807536,0.581282348
Sussex and East Surrey,Week 54,0.819372439,0.646326996
Sussex and East Surrey,Week 55,0.631603796,0.575969309
The Black Country and West Birmingham,Week 45,2.113677341,1.153993935
The Black Country and West Birmingham,Week 46,1.571116456,0.774191084
The Black Country and West Birmingham,Week 47,1.542990924,0.682468788
The Black Country and West Birmingham,Week 48,1.851150871,0.764653222
The Black Country and West Birmingham,Week 49,2.488824007,0.996643032
The Black Country and West Birmingham,Week 50,2.244302602,0.96588096
The Black Country and West Birmingham,Week 51,1.651542005,0.832501342
The Black Country and West Birmingham,Week 52,2.607657183,1.276770575
The Black Country and West Birmingham,Week 53,1.115293013,0.629136864
The Black Country and West Birmingham,Week 54,1.00884149,0.601637203
The Black Country and West Birmingham,Week 55,0.844672703,0.511777867
West Yorkshire and Harrogate (Health and Care Partnership),Week 45,1.500241938,0.903288874
West Yorkshire and Harrogate (Health and Care Partnership),Week 46,1.090863444,0.612164522
West Yorkshire and Harrogate (Health and Care Partnership),Week 47,1.217298729,0.661061846
West Yorkshire and Harrogate (Health and Care Partnership),Week 48,1.512991585,0.787348735
West Yorkshire and Harrogate (Health and Care Partnership),Week 49,1.873601372,0.906517493
West Yorkshire and Harrogate (Health and Care Partnership),Week 50,2.009841835,0.914484301
West Yorkshire and Harrogate (Health and Care Partnership),Week 51,2.182008261,0.974335121
West Yorkshire and Harrogate (Health and Care Partnership),Week 52,2.800444623,1.292778415
West Yorkshire and Harrogate (Health and Care Partnership),Week 53,1.222663676,0.668043553
West Yorkshire and Harrogate (Health and Care Partnership),Week 54,1.007861744,0.580917758
West Yorkshire and Harrogate (Health and Care Partnership),Week 55,1.12143661,0.632823898